,loss,categorical_accuracy,val_loss,val_categorical_accuracy
0,4.836025714874268,0.5788153409957886,2.519986152648926,0.6673583984375
1,2.2932612895965576,0.6805644035339355,2.2370951175689697,0.676708996295929
2,1.9854850769042969,0.7037843465805054,1.8637199401855469,0.7156127691268921
3,1.6878987550735474,0.734234094619751,1.4961892366409302,0.7627197504043579
4,1.1898385286331177,0.7989389896392822,0.956299901008606,0.832775890827179
5,0.7571357488632202,0.8539005517959595,0.6947798728942871,0.866455078125
6,0.5276780128479004,0.8828577995300293,0.6210240125656128,0.87542724609375
7,0.41418182849884033,0.8991224765777588,0.5968297123908997,0.8795531988143921
8,0.3394358158111572,0.9117178916931152,0.5772234797477722,0.8857177495956421
9,0.28661349415779114,0.921890377998352,0.6029351353645325,0.8827759027481079
10,0.24652831256389618,0.9303460121154785,0.5937898755073547,0.886889636516571
11,0.21406744420528412,0.9377928972244263,0.5977712869644165,0.8923705816268921
12,0.18713589012622833,0.9443653225898743,0.5941653251647949,0.890246570110321
13,0.16465160250663757,0.9500682353973389,0.6194843649864197,0.8928394913673401
